px,py,pz
0.0,-1.1,1.2
0.1369239097160464,-1.4162258737974884,0.9421506124045578
0.05001284312580573,-1.743744685505676,0.9893867080109855
0.4199387735607055,-1.5594529949697342,0.7079770799040594
0.9095863479245793,-1.476012622091387,0.7652741748871136
0.736281278033406,-1.00996113013609,0.8178228151764437
0.8205273026229093,-0.5304694121575871,0.7038478190988453
0.7971577008524522,-0.04939658232677652,0.838096819511013
0.815699035373091,0.3960010153294796,0.6116521266691857
0.7193451379471569,0.8798421980359711,0.5303278598848112
0.4398706192740951,1.2872760481245495,0.4535707676101677
0.0,1.1,0.6
